X,Y,osm_id,code,fclass,year
116.3972168,39.9382082,32850098,2401,hotel,2014
116.3895243,39.9410089,77741273,2950,tower,2014
116.385861,39.9324627,269491228,2721,attraction,2014
116.267504,39.9808692,269492188,2901,toilet,2014
116.4283525,39.9061804,269693885,2721,attraction,2014
116.4102928,39.9137064,269698692,2401,hotel,2014
116.3896273,39.9392782,269700902,2950,tower,2014
116.3896273,39.9392782,269700902,2721,attraction,2014
116.3798489,39.9284146,269702629,2721,attraction,2014
116.3830502,39.9244568,269703067,2721,attraction,2014
116.3828184,39.9215137,269703105,2721,attraction,2014
116.3831458,39.9311662,269703721,2721,attraction,2014
116.3821295,39.930558,269703839,2721,attraction,2014
116.3814227,39.9304592,269703930,2721,attraction,2014
116.3826639,39.9254171,269704412,2721,attraction,2014
116.2636853,39.9967308,269706416,2721,attraction,
116.2736395,39.9896013,269708600,2721,attraction,2014
116.2742168,39.9965993,269708922,2721,attraction,
116.3022486,40.0123565,269719790,2721,attraction,
116.3066351,40.0121153,269720154,2721,attraction,
116.3941884,39.9171077,271287530,2721,attraction,
116.167367,39.9936878,271822696,2724,memorial,
116.4493552,39.9314491,272576435,2304,pub,2014
116.3971202,39.9357763,273092476,2301,restaurant,
116.4492086,39.9252941,273110892,2304,pub,2014
116.4520067,39.9315469,273111613,2301,restaurant,2014
116.2175896,40.2539156,273374649,2721,attraction,2014
116.4736839,39.9217876,274748336,2301,restaurant,2014
116.2734022,39.9966119,274942287,2901,toilet,2014
116.300058,40.0255412,274942579,2301,restaurant,2014
116.2723183,39.9970578,274942596,2742,viewpoint,2014
116.2729818,39.996505,274942613,2742,viewpoint,2014
116.3375601,39.9754358,276320137,2302,fast_food,2014
116.3374037,39.9755849,276320141,2511,convenience,2014
116.3340104,39.9381387,276579950,2204,park,2014
116.3256167,39.9404186,276581657,2901,toilet,2014
116.3322132,39.938717,276581988,2724,memorial,2014
116.136977,39.9638815,277139450,2901,toilet,2014
116.4003691,39.9924549,277632174,2401,hotel,2014
116.1861476,39.9938593,281141967,2204,park,2014
116.1848246,40.0024139,281141972,2732,ruins,2014
116.31345,40.0313169,281923955,2302,fast_food,2014
116.3071297,40.028882,281925692,2601,bank,2014
116.3071623,40.0287913,281925699,2302,fast_food,2014
116.1639166,39.9684333,283334013,2732,ruins,2014
116.1638667,39.9702333,283334059,2303,cafe,2014
116.1636667,39.9703167,283334073,2732,ruins,2014
116.18135,39.9780167,283336457,2742,viewpoint,
116.1712775,39.9695834,283340762,2742,viewpoint,2014
116.1726,39.96765,283491985,2742,viewpoint,
116.1555667,39.9336,283642094,2732,ruins,2014
116.1588165,39.9340333,283642095,2082,school,2014
116.1518547,39.9335741,283642585,2722,museum,
116.1517166,39.9343,283643830,2742,viewpoint,
116.1662333,39.9748001,285042998,2901,toilet,2014
116.1731166,39.9809,285939361,2732,ruins,
116.1978603,40.0175766,286240907,2742,viewpoint,2014
116.1998217,40.0067002,286242547,2901,toilet,2014
116.1998837,40.0068002,286243121,2742,viewpoint,2014
116.1990001,40.0071501,286246708,2742,viewpoint,
116.1976836,40.0088499,286251707,2742,viewpoint,2014
116.2023833,39.9997499,286251830,2742,viewpoint,
116.3092024,40.0502696,286279166,2511,convenience,2014
116.3186344,40.0486722,286279253,2501,supermarket,
116.3329596,40.0375572,286279411,2204,park,2014
116.3050666,40.0291835,286279448,2005,post_office,2014
116.3055668,40.0278834,286279476,2501,supermarket,2014
116.6687452,40.5404119,287638327,2204,park,2014
116.4632394,39.9910294,288368697,2501,supermarket,2014
116.3064166,40.0109999,288643686,2732,ruins,
116.3064166,40.0109999,288643686,2721,attraction,
116.3095871,40.0097,288644164,2721,attraction,
116.3019833,40.0347333,289094945,2511,convenience,2014
116.3081198,40.0321388,289095054,2503,kiosk,2014
116.3056135,40.0335166,289394668,2301,restaurant,
116.3844917,39.9349523,290597415,2721,attraction,2014
116.3750833,39.9414667,290597856,2301,restaurant,
116.3075666,40.0311004,290597968,2001,police,2014
116.307564,40.0311031,290597974,2004,post_box,2014
116.367768,39.9459675,290598799,2901,toilet,2014
116.3749999,39.9415836,290598899,2901,toilet,2014
116.3816422,39.9342995,290599918,2901,toilet,2014
116.3846033,39.9351173,290600018,2742,viewpoint,
116.3289966,39.9911674,290600874,2303,cafe,2014
116.3081911,40.0546249,290952837,2301,restaurant,
116.3081212,40.0547075,290952840,2511,convenience,
116.305169,40.037407,290953000,2511,convenience,2014
116.3476379,39.973809,292592871,2742,viewpoint,
115.8965667,40.5124833,293036277,2742,viewpoint,2014
115.8144324,40.5656662,293403765,2422,camp_site,2014
116.3095871,39.9799227,294117071,2546,computer_shop,2014
116.3712568,39.9662275,294119543,2524,outdoor_shop,2014
116.3710349,39.9662243,294119553,2524,outdoor_shop,2014
116.3708297,39.9662728,294119559,2524,outdoor_shop,2014
116.4295881,39.9386279,294123517,2501,supermarket,2014
116.4240147,39.9393061,294123545,2511,convenience,
116.4146661,39.9394094,294123632,2301,restaurant,2014
116.1987627,39.9930347,295350688,2511,convenience,
116.1965487,39.9913364,295351140,2511,convenience,2014
116.4080666,39.845918,296298336,2302,fast_food,2014
116.2143131,39.8494109,296346488,2742,viewpoint,
116.2164484,39.8495272,296346509,2742,viewpoint,
116.2236103,39.8507042,296346557,2742,viewpoint,
116.2129332,39.8490031,296346558,2742,viewpoint,
116.2207769,39.8503658,296346725,2722,museum,
116.2212839,39.8503006,296346923,2901,toilet,2014
