X,Y,osm_id,code,fclass,year,
121.5689274,31.2492473,68215773,2110,hospital,2021,
121.4294593,31.2200958,68522234,2303,cafe,2021,
121.580496,31.2416285,100576736,2110,hospital,2021,
121.4906432,31.2643385,265719114,2511,convenience,2021,
121.4879612,31.2653228,265719846,2005,post_office,2021,
121.4956068,31.2630101,265740753,2501,supermarket,2021,
121.3714779,31.2102096,266499577,2110,hospital,2021,
121.4716535,31.2346453,267195089,2203,cinema,2021,
121.5035113,31.2703282,267197720,2304,pub,2021,
121.4449697,31.2102276,267671919,2301,restaurant,2021,
121.5251371,31.3270111,301889814,2005,post_office,2021,
121.5337426,31.3232268,301889815,2110,hospital,2021,
121.533927,31.326034,302041862,2001,police,2021,
121.1619584,31.2969671,306422446,2301,restaurant,2021,
121.222222,31.3192295,306422585,2401,hotel,2021,
121.2168906,31.3175212,322001983,2301,restaurant,2021,
121.4535424,31.2438829,338466774,2401,hotel,2021,
120.9191439,30.8401115,347204174,2401,hotel,2021,
121.5744208,31.2155619,393185736,2511,convenience,2021,
121.5745164,31.2155794,393821233,2529,beauty_shop,2021,
121.5808249,31.2258143,398719248,2511,convenience,2021,
121.5824299,31.2438021,398770157,2303,cafe,2021,
121.5503809,31.2067953,398828768,2542,bicycle_shop,2021,
121.5807277,31.2257952,400432900,2568,laundry,2021,
121.5808049,31.2257659,400432901,2602,atm,2021,
121.5896159,31.2204821,401464127,2301,restaurant,2021,
121.1126408,31.151268,412399534,2401,hotel,2021,
121.1123243,31.1500517,413550195,2302,fast_food,2021,
121.1118183,31.1514556,413550198,2302,fast_food,2021,
121.1082256,31.1606004,413550201,2302,fast_food,2021,
121.1083325,31.1501868,413550207,2302,fast_food,2021,
121.1083058,31.1504911,413550210,2302,fast_food,2021,
121.4210464,31.1764748,461788805,2901,toilet,2021,
121.5279878,31.3269968,467690367,2301,restaurant,2021,
121.5280359,31.3219385,468249726,2501,supermarket,,
121.5093648,31.3041669,468826701,2501,supermarket,,
121.5279193,31.3170567,469344440,2302,fast_food,2021,
121.5282451,31.3163384,469344441,2302,fast_food,,
121.5514167,31.3165467,471681858,2204,park,,
121.4856062,31.2466528,476067673,2401,hotel,2021,
121.4872012,31.2457297,476068109,2401,hotel,2021,
121.4861438,31.2461354,476069274,2301,restaurant,2021,
121.4859637,31.2410283,476071294,2724,memorial,2021,
121.5101915,31.3033436,476072602,2301,restaurant,2021,
121.5100285,31.3036223,476072686,2302,fast_food,,
121.5093419,31.3019575,476073086,2301,restaurant,2021,
121.5334871,31.326671,476074732,2301,restaurant,2021,
121.5273062,31.3213679,476075431,2511,convenience,2021,
121.4853948,31.2414831,476081313,2721,attraction,2021,
121.4855801,31.242325,476082235,2721,attraction,2021,
121.4854592,31.2417559,476082363,2721,attraction,2021,
121.4855155,31.2419875,476082453,2721,attraction,2021,
121.4853362,31.2406912,476082753,2721,attraction,2021,
121.4853871,31.2403999,476082989,2721,attraction,,
121.4854137,31.2401622,476148697,2721,attraction,2021,
121.4854322,31.2399676,476148920,2721,attraction,2021,
121.4854885,31.2396328,476149140,2721,attraction,2021,
121.485604,31.2390962,476149253,2721,attraction,,
121.4856441,31.2386397,476149343,2721,attraction,,
121.4857569,31.2380045,476149515,2721,attraction,,
121.4862961,31.2367496,476149638,2721,attraction,2021,
