X,Y,osm_id,code,fclass,year,
121.4411113,31.2310307,3274493901,2601,bank,2017,
121.695256,31.186512,3294604670,2401,hotel,2017,
121.4535309,31.2225822,3296015604,2303,cafe,2017,
121.4537187,31.2221854,3296015605,2301,restaurant,2017,
121.4542712,31.2224744,3296015606,2301,restaurant,2017,
121.4532466,31.2224217,3296015608,2303,cafe,2017,
121.4530427,31.2227336,3296015609,2303,cafe,2017,
121.1565016,31.2899684,3304393213,2501,supermarket,2017,
121.1352502,31.2491342,3304397134,2301,restaurant,2017,
121.1639938,31.2719603,3318828724,2721,attraction,2017,
121.1639938,31.2719603,3318828724,2723,monument,2017,
121.4823948,31.2345867,3319143859,2602,atm,2017,
121.5068554,31.2639352,3323074184,2301,restaurant,,
121.5077868,31.2632393,3323077563,2501,supermarket,,
121.5069336,31.2639408,3323077564,2501,supermarket,2017,
121.5071941,31.2636012,3323081096,2251,sports_centre,2017,
121.5069401,31.263835,3323081097,2301,restaurant,2017,
121.5821935,31.2857435,3323083830,2511,convenience,2017,
121.5796663,31.2857213,3323089969,2501,supermarket,,
121.5885376,31.2826486,3323094722,2301,restaurant,,
121.5832865,31.2745972,3323095250,2301,restaurant,,
121.582986,31.2742254,3323095929,2301,restaurant,,
121.5813387,31.2862132,3323096682,2101,pharmacy,2017,
121.5806032,31.2875582,3323102665,2901,toilet,2017,
121.1565666,31.291434,3323126836,2303,cafe,2017,
121.1571715,31.2916269,3323126837,2306,food_court,2017,
121.1621318,31.315528,3323126858,2001,police,2017,
121.1869552,31.2743043,3324633954,2401,hotel,2017,
121.3442252,31.211524,3325089261,2301,restaurant,,
121.3599028,31.2003157,3327019082,2110,hospital,2017,
121.50801,31.263025,3328121193,2303,cafe,2017,
121.8022512,31.14371,3328884286,2950,tower,2017,
121.4796257,31.2098522,3339331952,2401,hotel,2017,
121.5342865,31.2242934,3339331953,2725,artwork,2017,
121.3415341,31.1966742,3342630333,2950,tower,2017,
121.5380588,31.208243,3367866609,2301,restaurant,2017,
121.6670552,31.8109667,3376725680,2566,bicycle_rental,,
121.6627541,31.810415,3376732423,2566,bicycle_rental,2017,
120.8648226,31.2722685,3388687448,2303,cafe,2017,
120.8713458,31.2762666,3388693250,2515,bookshop,2017,
120.870813,31.272605,3388963866,2515,bookshop,2017,
120.8698796,31.2714404,3388963869,2303,cafe,,
121.4469716,31.2105377,3393396129,2301,restaurant,2017,
121.4463087,31.2109463,3393396130,2301,restaurant,2017,
121.4442953,31.213339,3393433586,2005,post_office,2017,
121.6598128,31.8100277,3408079238,2601,bank,2017,
121.6570769,31.8110489,3408079239,2601,bank,2017,
121.6588096,31.8105109,3408082707,2501,supermarket,2017,
121.6568409,31.8142262,3408083504,2110,hospital,2017,
121.6539709,31.81269,3408095911,2505,department_store,,
121.6539173,31.8110352,3408101036,2203,cinema,2017,
121.6547058,31.8146273,3408104993,2082,school,2017,
121.6433869,31.8169156,3408105301,2744,theme_park,2017,
121.6516749,31.8135606,3408105893,2082,school,2017,
121.6218488,31.8251887,3408110464,2401,hotel,2017,
121.6152237,31.8262279,3408110735,2082,school,2017,
121.596885,31.1904667,3412506646,2082,school,,
121.0506106,31.1134575,3424858409,2721,attraction,2017,
121.5364611,31.0454002,3446328250,2401,hotel,2017,
121.5348947,31.0464785,3446356780,2501,supermarket,2017,
121.534608,31.046433,3446356782,2301,restaurant,2017,
121.0491395,31.1090753,3463253434,2722,museum,2017,
121.0493423,31.1159344,3463267546,2303,cafe,2017,
121.4128545,31.1548749,3468864453,2511,convenience,,
121.1591969,31.2911495,3478276481,2601,bank,2017,
121.3454749,31.1699027,3489461006,2251,sports_centre,2017,
121.3462127,31.1693793,3489461007,2001,police,2017,
121.3474881,31.1742721,3489512974,2901,toilet,2017,
121.3462827,31.1729858,3489512975,2082,school,2017,
121.344521,31.1728724,3489512980,2561,hairdresser,2017,
121.213331,31.0400827,3498998329,2501,supermarket,,
121.2165115,31.039701,3499082943,2401,hotel,2017,
121.2123,31.0363301,3506173334,2901,toilet,2017,
121.2069731,31.0364795,3506173335,2901,toilet,2017,
121.2205294,31.4494747,3509137664,2951,comms_tower,2017,
121.2384279,31.4164438,3509137822,2951,comms_tower,2017,
121.1936965,31.036605,3509555326,2901,toilet,2017,
121.193894,31.0348699,3509602340,2901,toilet,2017,
121.2220268,31.0328119,3509651849,2901,toilet,2017,
121.2250226,31.0315005,3509652183,2901,toilet,2017,
121.2268998,31.0320411,3509652184,2901,toilet,2017,
121.223775,31.0367698,3509652185,2901,toilet,2017,
121.2018268,31.0366517,3509656766,2901,toilet,2017,
121.202682,31.0342095,3509657717,2901,toilet,2017,
121.1799805,31.4495274,3510730249,2951,comms_tower,2017,
121.2722455,31.1681999,3514759053,2511,convenience,,
121.1462826,31.0765628,3523140957,2901,toilet,2017,
121.1515867,31.0762768,3523141103,2901,toilet,2017,
121.6164134,31.2046486,3524045058,2301,restaurant,2017,
121.4493091,31.177874,3527390547,2082,school,2017,
121.4296496,31.200334,3528439806,2724,memorial,,
121.0938203,30.9387753,3532735313,2547,garden_centre,,
121.5913649,31.1873185,3537032961,2421,shelter,2017,
121.6190277,31.2072356,3537755111,2421,shelter,2017,
121.6196887,31.2085344,3537755112,2902,bench,2017,
121.6443583,31.1946748,3538401767,2421,shelter,2017,
121.6432866,31.1959385,3538401768,2421,shelter,2017,
121.6128026,31.2060098,3538573254,2503,kiosk,,
121.6239007,31.2143024,3538644146,2302,fast_food,,
121.6168197,31.205065,3538660452,2511,convenience,2017,
121.6166504,31.2048913,3538660453,2301,restaurant,,
121.6170193,31.2052168,3538660454,2401,hotel,,
121.6183233,31.2067192,3538682401,2593,vending_any,2017,
121.6167248,31.2055062,3538682402,2511,convenience,2017,
121.6169667,31.2057772,3538682403,2101,pharmacy,,
121.6169261,31.2057286,3538682404,2301,restaurant,2017,
121.6170018,31.2058543,3538682405,2528,greengrocer,,
121.6169901,31.2058342,3538682406,2121,dentist,2017,
121.6170379,31.2061927,3538682408,2301,restaurant,,
